name,label,sub_class,dynamic_state,cyclic_uid,age,world_width,world_height,lat_dist,long_dist,vert_dist,rel_vel_x,rel_acc_x,rel_vel_z,rel_acc_z,abs_vel_x,abs_acc_x,abs_vel_z,abs_acc_z,POS_LEFT_x,POS_LEFT_z,POS_CENTER_x,POS_CENTER_z,POS_RIGHT_x,POS_RIGHT_z,POS_DISTANT_x,POS_DISTANT_z,lane_association,conf,is_cipv,uid,eba_bitmask,vacc_quality,x_center,y_center,d3_separation,width,height,sf_confirmed,class_right_id,class_left_id,score,is_occluded,side_occlusion_type,permissive_side_occlusion_type,x_l,y_lt,y_lb,x_s,y_st,y_sb,x_r,y_rt,y_rb,matching_radar_cluster_top_left_x,matching_radar_cluster_top_left_z,matching_radar_cluster_width,matching_radar_cluster_height,matching_radar_cluster_is_static,matching_radar_cluster_center_x,matching_radar_cluster_center_z,update_type,reaction_profile,tracked_vel_x,tracked_vel_z,rc_raw_meas_x,rc_raw_meas_z,rc_tracked_pos_x,rc_tracked_pos_z,rc_tracked_vel_x,rc_tracked_vel_z,rc_tracked_acc_x,rc_tracked_acc_z,fd_raw_meas_x,fd_raw_meas_z,fd_tracked_pos_x,fd_tracked_pos_z,fd_tracked_vel_x,fd_tracked_vel_z,fd_tracked_acc_x,fd_tracked_acc_z,rc_weight_pos,rc_weight_kinematics,of_ittc_z,of_rel_vel_z,width_est,orientation,sf_orientation,cametra_origin,debug_field_0,debug_field_1,debug_field_2,Unnamed: 92
1690794337000148,2,1,1,7,11,1.37,1.58,5.92,42.35,-0.16,0.1,-0.0,-2.96,0.06,-0.13,-0.0,2.91,0.21,5.66,42.48,7.02,42.31,7.55,46.55,6.2,46.72,0,0.0,0,13,0x800,100,2121.55,1068.97,2090.86,62.26,71.06,1,2,2,84.208557,1,3,3,2090.418945,1033.826416,1098.676758,2090.856934,1033.444092,1104.504761,2152.682129,1033.333618,1104.579102,-1.0,-1.0,-1.0,-1.0,0,0.0,0.0,1,0,-0.13,-2.93,5.52,37.04,5.52,37.04,-0.13,-2.93,-0.0,0.06,5.76,38.71,5.92,42.36,-0.13,-2.93,-0.0,0.06,0.0,0.0,0.0,0.0,0,0.124708,0.124708,0,0.0,0.0,0.0,
1690794337000148,2,1,5,9,7,1.43,1.45,33.67,95.38,-0.57,-1.58,0.0,-0.23,0.03,-2.1,0.0,5.79,0.19,33.45,98.8,33.63,95.38,35.06,95.46,34.88,98.87,0,0.0,0,14,0x1800,100,2520.03,1060.95,2519.13,54.4,29.46,1,2,1,99.696037,1,3,3,2492.832031,1045.959229,1074.430176,2519.126465,1046.221069,1075.677734,2547.232422,1046.16394,1075.581543,-1.0,-1.0,-1.0,-1.0,0,0.0,0.0,1,0,-2.1,-0.05,23.44,65.85,23.44,65.85,-2.1,-0.05,0.0,0.03,31.27,88.47,33.37,95.39,-2.1,-0.05,0.0,0.03,0.0,0.0,0.0,0.0,0,-0.00933,-0.00933,0,0.0,0.0,0.0,
1690794337500188,2,1,0,2,46,1.79,1.39,5.1,3.0,-0.02,-0.05,-0.0,-0.94,0.21,-0.07,-0.0,5.05,0.39,6.28,7.21,5.78,2.97,7.55,2.76,8.06,7.0,0,0.0,0,0,0x800,100,4076.34,1298.49,4155.79,1761.81,558.18,1,1,1,96.502029,0,0,0,3195.432129,1028.59082,1329.488403,4155.786133,1019.397705,1577.580688,4957.245117,1017.624756,1591.888428,-1.0,-1.0,-1.0,-1.0,0,0.0,0.0,1,2,-0.07,-0.91,5.1,3.0,5.1,2.99,-0.07,-0.91,-0.0,0.21,5.1,3.0,5.09,2.98,-0.09,-1.02,-0.0,0.22,0.997527,0.997527,0.0,0.0,0,0.118559,0.11829,0,0.0,0.0,0.0,
1690794337500188,2,1,0,0,46,1.64,1.49,0.44,8.55,0.1,0.01,-0.0,-0.06,-0.09,-0.03,-0.0,5.9,0.1,-0.38,8.52,1.26,8.52,1.26,12.79,-0.38,12.79,1,0.92,1,1,0x0,100,1921.3,1133.84,1762.19,318.21,288.73,1,2,2,96.826134,1,1,1,1762.193726,989.471069,1278.203003,1762.193726,989.471069,1278.203003,2080.398926,989.272034,1276.165771,-1.0,-1.0,-1.0,-1.0,0,0.0,0.0,1,2,-0.03,-0.06,0.44,8.59,0.44,8.55,-0.03,-0.06,-0.0,-0.09,0.48,9.45,0.48,9.47,-0.02,-0.06,0.0,-0.1,0.997181,0.997181,7.9e-05,0.024272,1,0.000922,0.0,0,0.0,0.0,0.0,
1690794337500188,2,1,1,8,46,1.79,1.43,10.42,12.75,-0.13,0.57,0.05,-1.41,0.28,0.51,0.05,4.6,0.47,11.06,16.94,11.58,12.7,13.36,12.92,12.84,17.16,0,0.0,0,3,0x1800,100,3291.54,1136.71,3387.92,600.31,191.97,1,2,1,92.345444,0,0,0,2991.379883,1040.619385,1190.316895,3387.917725,1040.721558,1232.694092,3591.691406,1040.323853,1228.62915,-1.0,-1.0,-1.0,-1.0,0,0.0,0.0,1,1,0.51,-1.36,9.62,11.57,9.62,11.57,0.51,-1.36,0.05,0.28,10.59,12.92,10.42,12.75,0.51,-1.36,0.05,0.28,0.0,0.0,0.0,0.0,0,-0.123086,-0.197999,0,0.0,0.0,0.0,
1690794337500188,2,1,1,6,46,1.78,1.69,10.12,21.48,-0.2,-0.1,-0.0,-3.51,0.19,-0.21,-0.0,2.5,0.38,9.95,25.73,9.89,21.49,11.67,21.46,11.73,25.71,0,0.0,0,4,0x800,100,2685.6,1095.53,2672.96,271.68,143.12,1,2,1,95.602242,1,1,1,2549.760742,1026.380493,1147.706055,2672.961914,1023.976013,1167.091553,2821.439941,1023.76178,1166.595825,-1.0,-1.0,-1.0,-1.0,0,0.0,0.0,1,0,-0.21,-3.46,8.84,18.7,8.84,18.7,-0.21,-3.46,-0.0,0.19,10.48,22.49,10.28,21.82,-0.21,-3.46,-0.0,0.19,0.11011,0.11011,0.0,0.0,1,0.013925,-0.021521,0,0.0,0.0,0.0,
1690794337500188,2,1,0,4,46,1.77,1.64,7.51,23.25,-0.28,0.1,-0.0,0.18,0.2,-0.02,-0.0,6.17,0.38,7.14,27.48,7.17,23.26,8.94,23.27,8.91,27.5,0,0.0,0,2,0x800,100,2429.9,1100.98,2402.8,220.52,129.72,1,2,1,95.027267,0,0,0,2319.640625,1036.6521,1147.839355,2402.797852,1036.116455,1165.839233,2540.156982,1035.901245,1165.192871,-1.0,-1.0,-1.0,-1.0,0,0.0,0.0,1,0,-0.02,0.21,6.24,19.02,6.24,19.02,-0.02,0.21,-0.0,0.2,7.61,23.56,7.58,23.5,-0.02,0.21,-0.0,0.2,0.055589,0.055589,0.0,0.0,0,-0.00763,-0.016154,0,0.0,0.0,0.0,
1690794337500188,2,1,0,1,46,1.37,1.45,3.79,29.33,-0.09,-0.0,-0.01,1.48,0.21,-0.15,-0.01,7.46,0.4,3.11,29.43,4.47,29.3,4.89,33.55,3.53,33.68,0,0.0,0,5,0x800,100,2078.29,1083.39,2034.48,87.6,92.38,1,2,2,91.708008,0,0,0,2034.483276,1037.197998,1129.575928,2034.483276,1037.197998,1129.575928,2122.087158,1037.048706,1129.66626,-1.0,-1.0,-1.0,-1.0,0,0.0,0.0,1,0,-0.15,1.5,3.47,26.7,3.47,26.7,-0.15,1.5,-0.01,0.21,3.79,29.39,3.79,29.33,-0.15,1.5,-0.01,0.21,0.0,0.0,0.0,0.0,0,0.09948,0.09948,0,0.0,0.0,0.0,
1690794337500188,2,1,0,3,46,1.78,1.72,7.12,35.18,-0.2,0.16,-0.0,0.23,0.22,-0.02,-0.0,6.23,0.41,6.61,39.46,6.58,35.2,8.36,35.19,8.39,39.45,0,0.0,0,6,0x800,100,2219.69,1075.16,2189.69,130.15,92.15,1,2,1,93.991333,1,3,3,2154.609619,1030.185913,1112.880981,2189.687012,1029.084717,1121.238159,2284.764404,1028.945801,1120.948486,-1.0,-1.0,-1.0,-1.0,0,0.0,0.0,1,0,-0.02,0.27,6.24,30.54,6.24,30.54,-0.02,0.27,-0.0,0.22,7.12,35.07,7.13,35.22,-0.02,0.27,-0.0,0.22,0.007336,0.007336,0.0,0.0,1,0.005922,0.010309,0,0.0,0.0,0.0,
1690794337500188,2,1,1,5,46,1.31,1.45,9.01,37.13,0.07,-0.01,-0.01,-1.46,0.18,-0.2,-0.01,4.54,0.37,8.4,37.38,9.68,37.11,10.57,41.29,9.29,41.56,0,0.0,0,9,0x800,100,2295.2,1065.98,2261.35,67.79,73.43,1,2,2,89.42366,0,0,0,2261.304443,1030.21875,1096.568481,2261.352051,1029.266479,1102.697388,2329.096436,1029.099609,1102.946899,-1.0,-1.0,-1.0,-1.0,0,0.0,0.0,1,0,-0.2,-1.42,8.99,37.06,8.99,37.06,-0.2,-1.42,-0.01,0.18,8.99,37.06,8.97,37.13,-0.2,-1.42,-0.01,0.18,0.0,0.0,0.0,0.0,0,0.211127,0.211127,0,0.0,0.0,0.0,
