frame_id,boundary_name,fValidLengthMeter,fDistanceMeter,fYawAngleRad,fCurvature,fCurvatureRate,lane_type,fCorrectedPitch,polynomial[0],polynomial[1],polynomial[2],polynomial[3],Unnamed: 13
1690794343500239,road_boundary_left,45.813553,2.091201,-0.000608,-0.000103,0.0,1,-0.044711,-2.091201,0.000608,5.2e-05,-0.0,
1690794344000216,ego_right,21.7229,-1.898677,0.009445,-0.001184,0.0,1,-0.045163,1.898677,-0.009445,0.000592,-0.0,
1690794344000216,ego_left,30.900064,1.181816,-0.001166,0.000272,0.0,1,-0.045163,-1.181816,0.001166,-0.000136,-0.0,
1690794344000216,adjacent_right,32.206123,-4.794123,-0.029119,0.001086,0.0,1,-0.045163,4.794123,0.029127,-0.000543,-0.0,
1690794344000216,road_boundary_left,55.527889,2.265605,-0.014715,0.000595,0.0,1,-0.045163,-2.265605,0.014716,-0.000298,-0.0,
1690794344499781,ego_right,19.741085,-1.933564,0.007105,-0.000176,0.0,1,-0.041995,1.933564,-0.007105,8.8e-05,-0.0,
1690794344499781,ego_left,28.30081,1.167073,-0.000677,0.000288,0.0,1,-0.041995,-1.167073,0.000677,-0.000144,-0.0,
1690794344499781,adjacent_right,28.89966,-4.796393,-0.028945,0.001406,0.0,1,-0.041995,4.796393,0.028953,-0.000703,-0.0,
1690794344499781,road_boundary_left,48.659805,2.149143,-0.00644,0.000311,0.0,1,-0.041995,-2.149143,0.00644,-0.000155,-0.0,
1690794345000219,ego_right,21.028975,-1.919611,0.004543,-0.000396,0.0,1,-0.045752,1.919611,-0.004543,0.000198,-0.0,
1690794345000219,ego_left,30.431635,1.171705,0.002862,0.000297,0.0,1,-0.045752,-1.171705,-0.002862,-0.000149,-0.0,
1690794345000219,adjacent_right,30.887953,-4.914014,-0.028106,0.000814,0.0,1,-0.045752,4.914014,0.028113,-0.000407,-0.0,
1690794345000219,road_boundary_right,23.845375,-15.166735,0.002882,-0.001533,0.0,1,-0.045752,15.166735,-0.002882,0.000766,-0.0,
1690794345000219,road_boundary_left,48.880882,2.127969,0.004659,9.4e-05,0.0,1,-0.045752,-2.127969,-0.004659,-4.7e-05,-0.0,
1690794345499941,ego_right,20.117201,-1.888435,0.006241,-0.000444,0.0,1,-0.040655,1.888435,-0.006241,0.000222,-0.0,
1690794345499941,ego_left,27.350248,1.165233,0.003107,9.8e-05,0.0,1,-0.040655,-1.165233,-0.003107,-4.9e-05,-0.0,
1690794345499941,adjacent_right,26.739931,-4.878494,-0.021826,0.000915,0.0,1,-0.040655,4.878494,0.02183,-0.000457,-0.0,
1690794345499941,road_boundary_right,22.525766,-13.012415,0.028913,-0.013796,0.0,1,-0.040655,13.012415,-0.028922,0.006898,-0.0,
1690794345499941,road_boundary_left,42.924942,2.132818,-0.002382,9.1e-05,0.0,1,-0.040655,-2.132818,0.002382,-4.5e-05,-0.0,
1690794345999780,ego_right,19.141743,-1.855704,0.008312,-0.000758,0.0,1,-0.037632,1.855704,-0.008313,0.000379,-0.0,
1690794345999780,ego_left,25.681139,1.159166,0.001569,-1e-06,0.0,1,-0.037632,-1.159166,-0.001569,1e-06,-0.0,
1690794345999780,adjacent_right,20.768539,-4.86453,-0.013865,0.001223,0.0,1,-0.037632,4.86453,0.013866,-0.000611,-0.0,
1690794345999780,road_boundary_right,16.050817,-13.54149,0.008069,-0.005984,0.0,1,-0.037632,13.54149,-0.008069,0.002992,-0.0,
1690794345999780,road_boundary_left,41.023651,2.176828,-0.009794,7e-05,0.0,1,-0.037632,-2.176828,0.009795,-3.5e-05,-0.0,
1690794346500141,ego_right,18.755116,-1.84183,0.005922,-0.00058,0.0,1,-0.037242,1.84183,-0.005922,0.00029,-0.0,
1690794346500141,ego_left,23.12752,1.146542,-0.001725,-3.7e-05,0.0,1,-0.037242,-1.146542,0.001725,1.9e-05,-0.0,
1690794346500141,adjacent_right,18.053204,-4.754354,-0.009538,0.00061,0.0,1,-0.037242,4.754354,0.009538,-0.000305,-0.0,
1690794346500141,road_boundary_left,34.338219,2.089943,-0.00692,-0.000143,0.0,1,-0.037242,-2.089943,0.00692,7.1e-05,-0.0,
1690794346999797,ego_right,18.006786,-1.90556,0.002583,0.000183,0.0,1,-0.037978,1.90556,-0.002583,-9.1e-05,-0.0,
1690794346999797,ego_left,23.305674,1.132748,-0.002854,0.00021,0.0,1,-0.037978,-1.132748,0.002854,-0.000105,-0.0,
1690794346999797,adjacent_right,19.735064,-4.837214,-0.018267,0.001702,0.0,1,-0.037978,4.837214,0.018269,-0.000851,-0.0,
1690794346999797,road_boundary_left,39.738045,2.119431,-0.010275,7.6e-05,0.0,1,-0.037978,-2.119431,0.010276,-3.8e-05,-0.0,
1690794347499946,ego_right,19.962284,-1.90866,-0.000294,-0.00013,0.0,1,-0.042392,1.90866,0.000294,6.5e-05,-0.0,
1690794347499946,ego_left,25.583769,1.132582,-0.000382,0.00028,0.0,1,-0.042392,-1.132582,0.000382,-0.00014,-0.0,
1690794347499946,adjacent_right,19.807781,-4.915833,-0.020945,0.00115,0.0,1,-0.042392,4.915833,0.020948,-0.000575,-0.0,
1690794347499946,road_boundary_left,41.611553,2.160695,-0.012579,0.000415,0.0,1,-0.042392,-2.160695,0.01258,-0.000208,-0.0,
1690794347999796,ego_right,20.88236,-1.917821,-0.000431,-0.000219,0.0,1,-0.043896,1.917821,0.000431,0.000109,-0.0,
1690794347999796,ego_left,25.150959,1.135268,0.001652,0.000208,0.0,1,-0.043896,-1.135268,-0.001652,-0.000104,-0.0,
1690794347999796,adjacent_right,19.047611,-4.934994,-0.018002,-7e-05,0.0,1,-0.043896,4.934994,0.018004,3.5e-05,-0.0,
1690794347999796,road_boundary_left,42.636459,2.130213,-0.007692,0.000312,0.0,1,-0.043896,-2.130213,0.007692,-0.000156,-0.0,
1690794348499796,ego_right,20.797632,-1.880998,0.003937,-0.000566,0.0,1,-0.044175,1.880998,-0.003937,0.000283,-0.0,
1690794348499796,ego_left,24.117693,1.128531,0.003598,6.6e-05,0.0,1,-0.044175,-1.128531,-0.003598,-3.3e-05,-0.0,
1690794348499796,adjacent_right,16.74114,-4.814882,-0.007465,-0.002032,0.0,1,-0.044175,4.814882,0.007465,0.001016,-0.0,
1690794348499796,road_boundary_left,35.850861,2.149349,-0.012635,0.000482,0.0,1,-0.044175,-2.149349,0.012635,-0.000241,-0.0,
1690794348999945,ego_right,18.58839,-1.872236,0.007695,0.000205,0.0,1,-0.037763,1.872236,-0.007695,-0.000102,-0.0,
1690794348999945,ego_left,20.82548,1.130028,0.002857,-0.000257,0.0,1,-0.037763,-1.130028,-0.002857,0.000129,-0.0,
1690794348999945,adjacent_right,14.258725,-4.798036,-0.001854,0.000411,0.0,1,-0.037763,4.798036,0.001854,-0.000205,-0.0,
1690794348999945,road_boundary_left,28.413486,2.10658,-0.017475,0.000445,0.0,1,-0.037763,-2.10658,0.017477,-0.000222,-0.0,
1690794349500046,ego_right,21.495962,-1.916096,0.009192,-0.000139,0.0,1,-0.041453,1.916096,-0.009192,7e-05,-0.0,
1690794349500046,ego_left,20.923113,1.164868,0.005016,-5.3e-05,0.0,1,-0.041453,-1.164868,-0.005016,2.7e-05,-0.0,
1690794349500046,adjacent_right,14.824615,-4.982686,-1.5e-05,0.000938,0.0,1,-0.041453,4.982686,1.5e-05,-0.000469,-0.0,
